Cryptocurrency,R² Score,MAPE (%),MAE ($),RMSE ($),Dir. Accuracy (%),Correlation,Test Samples
bitcoin,0.9997,0.54,0.02,0.03,91.52,0.9999,826
tron,0.9993,0.64,0.03,0.06,92.27,0.9997,596
render,0.9992,1.41,0.05,0.07,92.67,0.9996,301
binance_coin,0.9991,0.7,0.02,0.03,91.93,0.9996,596
ethereum,0.9987,1.52,0.02,0.02,88.07,0.9994,596
fantom,0.9979,14.31,0.01,0.02,92.27,0.999,454
litecoin,0.9977,17.87,0.01,0.01,89.7,0.9989,826
toncoin,0.9977,30.0,0.01,0.02,91.19,0.9989,319
chainlink,0.9976,3.25,0.02,0.02,89.92,0.9988,596
injective,0.9975,15.76,0.02,0.02,94.21,0.9988,381
maker,0.9972,11.46,0.02,0.02,92.24,0.9986,594
solana,0.997,1.51,0.02,0.03,91.17,0.9985,420
avalanche,0.9968,7.75,0.01,0.02,91.71,0.9984,387
axie_infinity,0.9907,0.67,0.0,0.0,80.9,0.9956,378
the_graph,-0.3555,2.96,0.02,0.03,66.92,0.5119,131
