Cryptocurrency,R² Score,MAPE (%),MAE ($),RMSE ($),Dir. Acc. (%),Correlation
Avalanche,0.9968,7.75,0.01,0.02,91.71,0.9984
Axie Infinity,0.9907,0.67,0.00,0.00,80.90,0.9956
Binance Coin,0.9991,0.70,0.02,0.03,91.93,0.9996
Bitcoin,0.9997,0.54,0.02,0.03,91.52,0.9999
Chainlink,0.9976,3.25,0.02,0.02,89.92,0.9988
Ethereum,0.9987,1.52,0.02,0.02,88.07,0.9994
Fantom,0.9979,14.31,0.01,0.02,92.27,0.9990
Injective,0.9975,15.76,0.02,0.02,94.21,0.9988
Litecoin,0.9977,17.87,0.01,0.01,89.70,0.9989
Maker,0.9972,11.46,0.02,0.02,92.24,0.9986
Render,0.9992,1.41,0.05,0.07,92.67,0.9996
Solana,0.9970,1.51,0.02,0.03,91.17,0.9985
The Graph,-0.3555,2.96,0.02,0.03,66.92,0.5119
Toncoin,0.9977,30.00,0.01,0.02,91.19,0.9989
Tron,0.9993,0.64,0.03,0.06,92.27,0.9997
